City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Findlay,US,87.8,clear sky,41.04,-83.65,Drury Inn & Suites Findlay
9,Atuona,PF,78.82,broken clouds,-9.8,-139.03,Villa Enata
15,Marawi,PH,78.01,broken clouds,8.0,124.29,Salihmaruhom
19,Shouguang,CN,78.01,scattered clouds,36.88,118.74,Communications Hotel
23,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
24,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,Dingle,PH,80.74,overcast clouds,11.0,122.67,Camp Pasica
39,Butaritari,KI,82.6,overcast clouds,3.07,172.79,Isles Sunset Lodge
42,Surt,LY,78.58,clear sky,31.21,16.59,City Hotel
45,Mana,GF,78.66,broken clouds,5.66,-53.78,LE SAMANA
48,Hamilton,US,82.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
55,Kijang,KR,78.8,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
57,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
58,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
60,Sibolga,ID,76.19,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
62,Maraa,BR,78.48,light rain,-1.83,-65.37,
67,Humberto De Campos,BR,76.64,scattered clouds,-2.6,-43.46,Pousada do Cabeça
72,Gizo,SB,83.98,overcast clouds,-8.1,156.84,Imagination Island
73,Ko Samui,TH,84.2,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
75,Hilo,US,86.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
77,Half Moon Bay,US,77.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
83,Berea,US,87.8,scattered clouds,41.37,-81.85,Comfort Inn Cleveland Airport
85,Banda Aceh,ID,79.12,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
86,Marsh Harbour,BS,84.16,light rain,26.54,-77.06,Abaco Beach Resort
87,Restrepo,CO,77.0,broken clouds,3.82,-76.52,Apartaestudios Restrepo
88,Axim,GH,75.54,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
90,San Patricio,MX,76.35,heavy intensity rain,19.22,-104.7,Hotel Cabo Blanco
97,Nassau,US,84.0,moderate rain,40.75,-73.58,Hilton Garden Inn Westbury
100,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
101,Trabzon,TR,75.2,broken clouds,40.92,39.83,SANDALS HOTEL
102,Bara,NG,75.06,moderate rain,10.37,10.73,
104,Sao Filipe,CV,78.49,overcast clouds,14.9,-24.5,Tortuga B&B
106,Canton,CN,89.01,few clouds,23.12,113.25,Guangzhou Hotel
108,Acaponeta,MX,81.45,light rain,22.5,-105.36,Hotel Casa Blanca
110,Urucui,BR,83.79,broken clouds,-7.23,-44.56,Formula Flat Uruçui
118,Iquitos,PE,86.0,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
123,Meulaboh,ID,76.33,light rain,4.14,96.13,Kost Pria
124,Palafrugell,ES,75.0,clear sky,41.92,3.16,Hotel Garbi
128,Avera,US,86.0,clear sky,33.19,-82.53,
132,Havelock,US,82.99,broken clouds,34.88,-76.9,Sherwood Motel
134,Palma Soriano,CU,86.0,scattered clouds,20.22,-76.0,Mercedes Rooms
139,Honiara,SB,84.2,broken clouds,-9.43,159.95,Heritage Park Hotel
140,Mogadishu,SO,76.03,few clouds,2.04,45.34,Hotel Juba
142,Nicoya,CR,75.2,light rain,10.15,-85.45,Guayacan Real
143,Jacareacanga,BR,76.14,light rain,-6.22,-57.75,Casa do Ian😎
146,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
153,Clarksburg,US,75.99,moderate rain,39.28,-80.34,Greenbrier Motel & Restaurant
