City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Findlay,US,41.04,-83.65,87.8,55,1,14.99,clear sky
1,Saint-Philippe,RE,-21.36,55.77,68.0,60,36,4.7,scattered clouds
2,Santona,ES,43.44,-3.46,72.0,88,90,5.82,overcast clouds
3,Qaanaaq,GL,77.48,-69.36,38.98,86,100,10.98,light rain
4,Ngunguru,NZ,-35.62,174.5,62.01,3,8,5.01,clear sky
5,Bambous Virieux,MU,-20.34,57.76,69.8,77,75,3.36,light intensity shower rain
6,Castro,BR,-24.79,-50.01,55.17,77,0,3.87,clear sky
7,Rikitea,PF,-23.12,-134.97,68.54,60,0,2.98,clear sky
8,Yellowknife,CA,62.46,-114.35,60.8,67,75,11.41,shower rain
9,Atuona,PF,-9.8,-139.03,78.82,75,69,18.59,broken clouds
10,Cidreira,BR,-30.18,-50.21,63.23,81,26,6.76,scattered clouds
11,Hermanus,ZA,-34.42,19.23,51.01,89,63,16.55,broken clouds
12,Flinders,AU,-34.58,150.86,60.01,42,0,5.99,clear sky
13,Saskylakh,RU,71.92,114.08,62.78,41,58,1.92,broken clouds
14,Solwezi,ZM,-12.17,26.39,67.14,49,86,1.68,overcast clouds
15,Marawi,PH,8.0,124.29,78.01,86,59,4.0,broken clouds
16,Lata,PT,40.16,-8.33,69.01,90,40,3.0,scattered clouds
17,Klaksvik,FO,62.23,-6.59,50.0,81,26,8.05,scattered clouds
18,Alice Springs,AU,-23.7,133.88,60.8,23,0,12.75,clear sky
19,Shouguang,CN,36.88,118.74,78.01,71,47,3.69,scattered clouds
20,Cape Town,ZA,-33.93,18.42,55.0,81,75,8.05,broken clouds
21,San Juan,AR,-31.54,-68.54,61.11,32,0,8.03,clear sky
22,Ushuaia,AR,-54.8,-68.3,37.4,55,40,6.93,shower rain
23,Kapaa,US,22.08,-159.32,86.0,58,20,11.41,few clouds
24,Vaini,TO,-21.2,-175.2,80.6,69,40,8.05,scattered clouds
25,Bredasdorp,ZA,-34.53,20.04,53.6,93,47,10.29,scattered clouds
26,Grindavik,IS,63.84,-22.43,46.4,100,90,6.93,light intensity drizzle
27,Seoni,IN,22.08,79.53,72.19,94,100,13.13,moderate rain
28,Leningradskiy,RU,69.38,178.42,39.13,91,100,4.83,overcast clouds
29,New Norfolk,AU,-42.78,147.06,55.99,71,51,3.0,broken clouds
30,Severo-Kurilsk,RU,50.68,156.12,52.74,80,92,13.47,overcast clouds
31,Dingle,PH,11.0,122.67,80.74,77,98,4.9,overcast clouds
32,Bilibino,RU,68.05,166.44,45.19,70,99,3.11,overcast clouds
33,Albany,US,42.6,-73.97,63.0,91,100,3.24,heavy intensity rain
34,Emerald,AU,-23.53,148.17,66.99,59,0,8.05,clear sky
35,Saint George,US,37.1,-113.58,105.8,9,1,14.99,clear sky
36,Upernavik,GL,72.79,-56.15,42.69,71,63,6.24,broken clouds
37,Tiksi,RU,71.69,128.87,47.08,60,0,8.37,clear sky
38,Punta Arenas,CL,-53.15,-70.92,32.0,90,83,20.8,light rain
39,Butaritari,KI,3.07,172.79,82.6,69,100,10.94,overcast clouds
40,Tuktoyaktuk,CA,69.45,-133.04,48.2,61,75,12.75,broken clouds
41,Busselton,AU,-33.65,115.33,48.99,87,0,1.3,clear sky
42,Surt,LY,31.21,16.59,78.58,74,0,7.76,clear sky
43,Geraldton,AU,-28.77,114.6,50.0,93,75,8.05,broken clouds
44,Guanhaes,BR,-18.77,-42.93,59.59,84,9,2.95,clear sky
45,Mana,GF,5.66,-53.78,78.66,86,68,2.57,broken clouds
46,Saint-Augustin,CA,51.23,-58.65,50.7,86,95,10.49,overcast clouds
47,Bluff,NZ,-46.6,168.33,51.46,68,79,18.99,broken clouds
48,Hamilton,US,39.18,-84.53,82.0,78,1,5.82,clear sky
49,Maceio,BR,-9.67,-35.74,69.8,88,63,4.7,broken clouds
50,Wanaka,NZ,-44.7,169.15,47.61,63,71,9.93,broken clouds
51,Jamestown,US,42.1,-79.24,70.0,83,1,11.41,light rain
52,Okhotsk,RU,59.38,143.3,55.67,67,100,5.75,overcast clouds
53,Nikolskoye,RU,59.7,30.79,54.0,93,90,4.47,light intensity shower rain
54,Mount Isa,AU,-20.73,139.5,71.6,18,0,12.75,clear sky
55,Kijang,KR,35.24,129.21,78.8,88,75,2.24,light rain
56,Batemans Bay,AU,-35.72,150.18,57.0,46,2,5.01,clear sky
57,Kahului,US,20.89,-156.47,89.6,52,40,31.09,scattered clouds
58,Salalah,OM,17.02,54.09,75.2,100,90,3.36,light intensity drizzle
59,Mosetse,BW,-20.75,26.65,62.49,31,11,8.34,few clouds
60,Sibolga,ID,1.74,98.78,76.19,81,96,4.09,overcast clouds
61,Vostok,RU,46.49,135.88,62.37,100,100,4.16,light rain
62,Maraa,BR,-1.83,-65.37,78.48,78,38,1.86,light rain
63,Naushki,RU,50.38,106.11,55.72,86,99,3.96,overcast clouds
64,Port Alfred,ZA,-33.59,26.89,57.94,71,0,14.32,clear sky
65,Kleive,NO,62.8,7.64,51.8,81,56,5.82,broken clouds
66,Cabedelo,BR,-6.98,-34.83,71.6,83,25,4.7,scattered clouds
67,Humberto De Campos,BR,-2.6,-43.46,76.64,85,26,5.26,scattered clouds
68,Thompson,CA,55.74,-97.86,66.2,68,75,2.24,broken clouds
69,Kichera,RU,55.94,110.1,61.57,54,98,6.55,overcast clouds
70,Cherskiy,RU,68.75,161.3,42.89,89,100,1.07,overcast clouds
71,Hobart,AU,-42.88,147.33,55.4,50,75,23.04,broken clouds
72,Gizo,SB,-8.1,156.84,83.98,72,100,8.05,overcast clouds
73,Ko Samui,TH,9.54,99.94,84.2,74,20,6.93,few clouds
74,East London,ZA,-33.02,27.91,61.7,63,1,17.02,clear sky
75,Hilo,US,19.73,-155.09,86.0,55,1,8.05,clear sky
76,Fortuna,US,40.6,-124.16,64.0,82,1,11.41,clear sky
77,Half Moon Bay,US,37.46,-122.43,77.0,82,90,8.05,overcast clouds
78,Barrow,US,71.29,-156.79,39.2,80,90,19.46,overcast clouds
79,Torbay,CA,47.67,-52.73,57.99,71,75,11.41,broken clouds
80,Port Elizabeth,ZA,-33.92,25.57,59.0,72,0,17.22,clear sky
81,Sisimiut,GL,66.94,-53.67,48.45,70,99,5.66,overcast clouds
82,Bethel,US,41.37,-73.41,70.0,100,90,7.67,heavy intensity rain
83,Berea,US,41.37,-81.85,87.8,48,40,13.87,scattered clouds
84,Manbij,SY,36.53,37.95,73.4,64,0,8.75,clear sky
85,Banda Aceh,ID,5.56,95.32,79.12,79,100,2.86,overcast clouds
86,Marsh Harbour,BS,26.54,-77.06,84.16,77,71,10.67,light rain
87,Restrepo,CO,3.82,-76.52,77.0,65,75,8.05,broken clouds
88,Axim,GH,4.87,-2.24,75.54,87,41,9.55,scattered clouds
89,Charagua,BO,-19.8,-63.22,74.5,43,0,4.72,clear sky
90,San Patricio,MX,19.22,-104.7,76.35,93,100,7.0,heavy intensity rain
91,Coahuayana,MX,18.73,-103.68,69.8,88,90,4.09,mist
92,Iquique,CL,-20.22,-70.14,60.8,77,20,17.22,few clouds
93,Kruisfontein,ZA,-34.0,24.73,53.13,79,17,14.29,few clouds
94,Puerto Ayora,EC,-0.74,-90.35,66.99,87,73,7.0,broken clouds
95,Nuuk,GL,64.18,-51.72,48.2,76,100,5.82,overcast clouds
96,Codrington,AU,-38.27,141.97,52.11,78,0,9.51,clear sky
97,Nassau,US,40.75,-73.58,84.0,73,82,1.99,moderate rain
98,Morden,CA,49.19,-98.1,73.4,88,20,10.29,few clouds
99,Khor,RU,47.89,134.95,64.56,98,100,13.62,moderate rain
100,Isangel,VU,-19.55,169.27,78.8,78,75,10.29,broken clouds
101,Trabzon,TR,40.92,39.83,75.2,73,75,4.7,broken clouds
102,Bara,NG,10.37,10.73,75.06,90,92,5.5,moderate rain
103,Craigieburn,AU,-37.6,144.95,51.8,66,20,12.75,few clouds
104,Sao Filipe,CV,14.9,-24.5,78.49,85,100,3.96,overcast clouds
105,Saldanha,ZA,-33.01,17.94,53.6,76,50,3.36,scattered clouds
106,Canton,CN,23.12,113.25,89.01,78,20,4.47,few clouds
107,Egvekinot,RU,66.32,-179.17,47.34,75,99,8.52,overcast clouds
108,Acaponeta,MX,22.5,-105.36,81.45,88,79,2.59,light rain
109,Luderitz,NA,-26.65,15.16,53.69,76,0,12.97,clear sky
110,Urucui,BR,-7.23,-44.56,83.79,31,66,4.52,broken clouds
111,Coquimbo,CL,-29.95,-71.34,53.6,71,20,4.7,few clouds
112,Aklavik,CA,68.22,-135.01,42.8,75,75,6.93,broken clouds
113,Pinega,RU,64.7,43.39,44.6,96,1,5.19,clear sky
114,Kodiak,US,57.79,-152.41,55.4,76,90,9.17,light rain
115,Mataura,NZ,-46.19,168.86,51.58,57,68,5.88,broken clouds
116,Port Lincoln,AU,-34.73,135.87,56.26,77,1,6.6,clear sky
117,Lebu,CL,-37.62,-73.65,48.96,88,97,10.8,overcast clouds
118,Iquitos,PE,-3.75,-73.25,86.0,62,98,3.36,overcast clouds
119,Hinton,CA,53.4,-117.59,67.55,27,32,5.86,scattered clouds
120,Fairview,US,40.81,-74.0,91.4,46,75,6.93,broken clouds
121,Mananjary,MG,-21.22,48.33,67.64,91,5,5.06,clear sky
122,Carnarvon,AU,-24.87,113.63,66.2,100,40,8.05,scattered clouds
123,Meulaboh,ID,4.14,96.13,76.33,87,100,3.91,light rain
124,Palafrugell,ES,41.92,3.16,75.0,88,5,3.56,clear sky
125,Umea,SE,63.83,20.26,41.0,100,13,3.36,few clouds
126,Chapais,CA,49.78,-74.85,53.6,71,90,6.93,overcast clouds
127,Swan Hill,AU,-35.34,143.55,52.12,61,0,6.31,clear sky
128,Avera,US,33.19,-82.53,86.0,89,1,3.36,clear sky
129,Rorvik,NO,64.86,11.24,52.34,65,26,5.39,scattered clouds
130,Sitka,US,57.05,-135.33,59.0,62,90,14.99,overcast clouds
131,Zhezkazgan,KZ,47.8,67.71,64.8,53,0,4.61,clear sky
132,Havelock,US,34.88,-76.9,82.99,83,65,4.0,broken clouds
133,Toora-Khem,RU,52.47,96.11,47.1,81,100,0.85,overcast clouds
134,Palma Soriano,CU,20.22,-76.0,86.0,70,40,3.36,scattered clouds
135,Changqing,CN,36.56,116.73,74.68,74,0,2.84,clear sky
136,Ilulissat,GL,69.22,-51.1,42.8,60,11,4.47,few clouds
137,Ribeira Grande,PT,38.52,-28.7,74.91,87,96,11.41,overcast clouds
138,Santa Fe,AR,-31.63,-60.7,64.0,60,71,3.0,light rain
139,Honiara,SB,-9.43,159.95,84.2,79,75,11.41,broken clouds
140,Mogadishu,SO,2.04,45.34,76.03,84,13,14.9,few clouds
141,Okato,NZ,-39.2,173.88,53.01,89,33,3.0,light rain
142,Nicoya,CR,10.15,-85.45,75.2,100,75,4.7,light rain
143,Jacareacanga,BR,-6.22,-57.75,76.14,77,50,0.74,light rain
144,Conceicao Da Barra,BR,-18.59,-39.73,71.2,83,1,7.61,clear sky
145,Chokurdakh,RU,70.63,147.92,40.87,73,100,8.59,overcast clouds
146,Avarua,CK,-21.21,-159.78,77.0,57,39,10.29,scattered clouds
147,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,100,90,8.95,mist
148,Urumqi,CN,43.8,87.6,57.2,93,90,6.71,light rain
149,Asau,RO,46.43,26.4,63.0,77,87,4.7,overcast clouds
150,Mar Del Plata,AR,-38.0,-57.56,55.0,66,0,3.36,clear sky
151,Caravelas,BR,-17.71,-39.25,71.53,86,0,7.61,light rain
152,Dikson,RU,73.51,80.55,47.82,81,48,9.64,scattered clouds
153,Clarksburg,US,39.28,-80.34,75.99,88,75,8.05,moderate rain
154,Necochea,AR,-38.55,-58.74,45.0,86,0,3.0,clear sky
155,Kirakira,SB,-10.45,161.92,83.7,74,52,16.26,light rain
156,Tocache,PE,-8.18,-76.51,77.2,58,18,1.34,few clouds
157,Parry Sound,CA,45.35,-80.03,69.01,91,53,11.99,broken clouds
158,Puerto Suarez,BO,-18.95,-57.8,86.11,36,15,3.24,few clouds
159,Umm Lajj,SA,25.02,37.27,82.24,69,55,4.18,broken clouds
160,Esperance,AU,-33.87,121.9,53.6,76,0,19.46,clear sky
161,Mahebourg,MU,-20.41,57.7,69.8,77,75,3.36,light intensity shower rain
162,Hasaki,JP,35.73,140.83,88.0,89,40,5.82,scattered clouds
