City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pobe,BJ,2020-08-25 18:36:30,6.98,2.66,73.58,84,55,6.35
1,Thyolo,MW,2020-08-25 18:36:30,-16.07,35.14,68.5,60,73,2.86
2,Koulikoro,ML,2020-08-25 18:36:30,14.0,-7.75,72.82,89,100,8.88
3,Siderno,IT,2020-08-25 18:36:30,38.28,16.3,80.6,61,20,11.41
4,Chardara,KZ,2020-08-25 18:36:30,41.25,67.97,73.38,48,44,13.44
5,Carnarvon,AU,2020-08-25 18:33:02,-24.87,113.63,62.6,82,0,16.11
6,Constitucion,CL,2020-08-25 18:33:40,-35.33,-72.42,54.39,77,85,22.57
7,Bredasdorp,ZA,2020-08-25 18:36:30,-34.53,20.04,57.2,93,100,10.29
8,Saskylakh,RU,2020-08-25 18:32:57,71.92,114.08,53.15,60,97,7.49
9,Tasiilaq,GL,2020-08-25 18:36:30,65.61,-37.64,44.6,70,5,9.17
10,Severo-Kurilsk,RU,2020-08-25 18:33:05,50.68,156.12,53.06,94,100,16.35
11,Port Alfred,ZA,2020-08-25 18:32:58,-33.59,26.89,62.35,72,0,16.22
12,Annau,TM,2020-08-25 18:36:30,37.89,58.52,77.0,38,75,9.17
13,Narsaq,GL,2020-08-25 18:36:30,60.92,-46.05,55.4,58,20,11.41
14,Ahuimanu,US,2020-08-25 18:36:31,21.44,-157.84,82.4,69,75,9.17
15,Hervey Bay,AU,2020-08-25 18:36:31,-25.3,152.85,52.0,66,0,6.93
16,Dobryanka,RU,2020-08-25 18:36:31,58.46,56.42,59.0,100,40,8.95
17,Butaritari,KI,2020-08-25 18:36:31,3.07,172.79,81.77,65,77,4.65
18,Cidreira,BR,2020-08-25 18:36:31,-30.18,-50.21,64.45,79,0,23.64
19,Hobart,AU,2020-08-25 18:36:08,-42.88,147.33,48.2,57,100,16.11
20,Burnie,AU,2020-08-25 18:36:31,-41.07,145.92,44.01,71,26,7.0
21,Qaanaaq,GL,2020-08-25 18:36:31,77.48,-69.36,36.32,89,100,10.6
22,Linxia,CN,2020-08-25 18:36:32,35.6,103.21,60.89,49,0,4.16
23,Araouane,ML,2020-08-25 18:36:32,18.9,-3.53,97.65,31,62,11.95
24,Ribeira Grande,PT,2020-08-25 18:36:32,38.52,-28.7,75.2,94,75,13.87
25,Dejen,ET,2020-08-25 18:36:32,10.17,38.13,54.43,91,26,2.73
26,Hermanus,ZA,2020-08-25 18:32:59,-34.42,19.23,57.0,91,100,12.44
27,Dunedin,NZ,2020-08-25 18:36:05,-45.87,170.5,41.0,83,0,4.0
28,Palauig,PH,2020-08-25 18:36:33,15.44,119.9,82.15,81,49,7.7
29,Revnice,CZ,2020-08-25 18:36:33,49.91,14.24,69.01,68,0,6.49
30,Gotsu,JP,2020-08-25 18:36:34,35.0,132.22,77.25,87,0,6.58
31,Sitka,US,2020-08-25 18:36:34,57.05,-135.33,53.6,93,90,4.7
32,Minas,UY,2020-08-25 18:36:34,-34.38,-55.24,60.01,100,90,9.17
33,Tomatlan,MX,2020-08-25 18:36:34,19.93,-105.25,84.15,83,80,6.67
